round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,kills,killed_by_opponent,total_reward,epsilon
1538,5,0,1,4,1,0,0,0,-66.0,0.2372
1539,61,2,4,11,1,1,0,0,-93.0,0.237
1540,181,2,14,27,1,1,0,0,-470.0,0.2368
1541,13,0,2,5,1,0,0,0,-68.0,0.2365
1542,55,2,6,21,1,0,0,0,-92.0,0.2363
1543,7,0,1,3,1,0,0,0,-44.0,0.236
1544,21,0,3,8,1,0,0,0,-64.0,0.2358
1545,6,0,1,3,1,0,0,0,-36.0,0.2356
1546,14,0,2,8,1,0,0,0,-57.0,0.2353
1547,112,2,8,18,1,0,0,0,-204.0,0.2351
1548,79,2,5,13,0,0,0,1,-131.0,0.2349
1549,28,1,3,4,1,0,0,0,-128.0,0.2346
1550,29,0,4,7,1,0,0,0,-112.0,0.2344
1551,19,1,2,5,1,0,0,0,-58.0,0.2342
1552,19,1,2,4,1,0,0,0,-77.0,0.2339
1553,62,0,5,13,1,0,0,0,-235.0,0.2337
1554,119,1,8,23,1,1,0,0,-268.0,0.2335
1555,14,0,2,9,1,0,0,0,-45.0,0.2332
1556,24,0,3,9,1,0,0,0,-91.0,0.233
1557,6,0,1,2,1,0,0,0,-42.0,0.2328
1558,21,0,3,8,1,0,0,0,-97.0,0.2325
1559,113,1,10,20,1,0,0,0,-260.0,0.2323
1560,8,0,1,3,1,0,0,0,-48.0,0.2321
1561,22,1,3,9,1,0,0,0,-83.0,0.2318
1562,16,0,2,6,1,0,0,0,-84.0,0.2316
1563,9,0,1,3,1,0,0,0,-56.0,0.2314
1564,15,0,2,7,1,0,0,0,-70.0,0.2311
1565,30,0,4,15,1,0,0,0,-84.0,0.2309
1566,5,0,1,1,1,0,0,0,-75.0,0.2307
1567,48,3,5,16,1,0,0,0,-75.0,0.2304
1568,15,1,2,5,1,0,0,0,-66.0,0.2302
1569,73,2,8,20,1,0,0,0,-132.0,0.23
