round,steps,coins_collected,epsilon
1401,400,14,0.2721
1402,400,12,0.2718
1403,400,5,0.2715
1404,199,50,0.2713
1405,229,50,0.271
1406,400,37,0.2707
1407,193,50,0.2705
1408,400,13,0.2702
1409,400,9,0.2699
1410,202,50,0.2696
1411,400,11,0.2694
1412,176,50,0.2691
1413,152,50,0.2688
1414,189,50,0.2686
1415,400,47,0.2683
1416,152,50,0.268
1417,170,50,0.2678
1418,400,18,0.2675
1419,400,2,0.2672
1420,291,50,0.267
1421,400,10,0.2667
1422,400,36,0.2664
1423,400,40,0.2662
1424,217,50,0.2659
1425,276,50,0.2656
1426,400,21,0.2654
1427,400,23,0.2651
1428,158,50,0.2648
1429,167,50,0.2646
1430,400,11,0.2643
1431,400,38,0.264
1432,400,39,0.2638
1433,400,14,0.2635
1434,400,4,0.2632
1435,159,50,0.263
1436,201,50,0.2627
1437,398,50,0.2625
1438,375,50,0.2622
1439,160,50,0.2619
1440,400,10,0.2617
1441,400,48,0.2614
1442,400,20,0.2611
1443,400,11,0.2609
1444,400,4,0.2606
1445,400,15,0.2604
1446,169,50,0.2601
1447,154,50,0.2598
1448,400,17,0.2596
1449,400,19,0.2593
1450,400,3,0.2591
1451,200,50,0.2588
1452,179,50,0.2585
1453,400,27,0.2583
1454,400,3,0.258
1455,400,28,0.2578
1456,400,3,0.2575
1457,400,49,0.2573
1458,150,50,0.257
1459,187,50,0.2567
1460,176,50,0.2565
1461,400,42,0.2562
1462,400,6,0.256
1463,400,15,0.2557
1464,400,11,0.2555
1465,400,11,0.2552
1466,162,50,0.255
1467,400,22,0.2547
1468,400,12,0.2544
1469,149,50,0.2542
1470,400,2,0.2539
1471,400,40,0.2537
1472,400,20,0.2534
1473,400,15,0.2532
1474,400,5,0.2529
1475,400,38,0.2527
1476,199,50,0.2524
1477,183,50,0.2522
1478,271,50,0.2519
1479,400,10,0.2517
1480,160,50,0.2514
1481,182,50,0.2512
1482,180,50,0.2509
1483,400,29,0.2507
1484,186,50,0.2504
1485,400,7,0.2502
1486,400,18,0.2499
1487,150,50,0.2497
1488,400,20,0.2494
1489,400,20,0.2492
1490,400,6,0.2489
1491,400,4,0.2487
1492,264,50,0.2484
1493,400,20,0.2482
1494,147,50,0.2479
1495,206,50,0.2477
1496,177,50,0.2474
1497,251,50,0.2472
1498,400,15,0.2469
1499,216,50,0.2467
1500,400,45,0.2464
1501,172,50,0.2462
