round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,kills,killed_by_opponent,total_reward,epsilon
3853,5,0,1,3,1,0,0,0,-49.0,0.1
3854,385,2,27,35,0,1,0,1,-616.0,0.1
3855,142,4,8,24,0,0,0,1,-136.0,0.1
3856,17,1,2,8,1,0,0,0,-55.0,0.1
3857,378,3,19,31,1,1,0,0,-962.0,0.1
3858,22,0,3,6,1,0,0,0,-90.0,0.1
3859,40,0,5,16,1,0,0,0,-107.0,0.1
3860,13,0,2,4,1,0,0,0,-55.0,0.1
3861,7,0,1,3,1,0,0,0,-34.0,0.1
3862,32,0,4,11,1,0,0,0,-89.0,0.1
3863,5,0,1,3,1,0,0,0,-49.0,0.1
3864,25,1,3,9,1,0,0,0,-70.0,0.1
3865,86,2,5,13,1,0,1,0,2.0,0.1
3866,127,3,8,24,0,0,0,1,-259.0,0.1
3867,145,1,11,31,1,1,0,0,-246.0,0.1
3868,59,2,5,15,1,0,0,0,-102.0,0.1
3869,7,0,1,3,1,0,0,0,-44.0,0.1
3870,233,3,13,36,1,1,0,0,-567.0,0.1
3871,162,1,17,38,1,2,0,0,-159.0,0.1
3872,173,2,15,25,1,1,0,0,-305.0,0.1
3873,21,0,3,14,1,0,0,0,-49.0,0.1
3874,76,2,8,36,1,0,0,0,-46.0,0.1
3875,260,3,22,45,1,0,0,0,-417.0,0.1
3876,53,1,6,11,1,0,0,0,-88.0,0.1
3877,81,2,8,21,1,0,0,0,-143.0,0.1
3878,43,1,5,10,1,0,0,0,-124.0,0.1
3879,121,3,13,31,1,0,0,0,-121.0,0.1
3880,236,3,19,43,1,4,1,0,-549.0,0.1
3881,7,0,1,2,1,0,0,0,-37.0,0.1
3882,5,0,1,3,1,0,0,0,-49.0,0.1
3883,13,0,2,4,1,0,0,0,-73.0,0.1
3884,13,0,2,5,1,0,0,0,-70.0,0.1
3885,70,1,9,22,1,0,0,0,-113.0,0.1
3886,34,2,4,14,1,0,0,0,-68.0,0.1
3887,104,4,10,27,1,1,0,0,-75.0,0.1
3888,73,1,9,20,1,0,0,0,-220.0,0.1
3889,27,1,3,9,1,0,0,0,-67.0,0.1
3890,29,0,4,9,1,0,0,0,-100.0,0.1
3891,400,5,33,28,0,0,0,0,-1198.0,0.1
3892,61,1,5,13,1,1,0,0,-154.0,0.1
3893,37,0,5,15,1,0,0,0,-49.0,0.1
3894,41,1,6,24,1,0,0,0,-17.0,0.1
3895,21,0,3,11,1,0,0,0,-28.0,0.1
3896,25,1,3,11,1,0,0,0,-48.0,0.1
3897,107,2,9,25,1,0,0,0,-176.0,0.1
3898,400,3,21,41,0,0,0,0,-791.0,0.1
3899,70,3,8,28,1,0,0,0,-100.0,0.1
3900,114,2,11,30,1,1,0,0,-126.0,0.1
3901,55,1,6,28,1,0,0,0,-73.0,0.1
3902,101,2,10,29,1,0,0,0,-203.0,0.1
3903,98,5,10,26,1,0,0,0,-131.0,0.1
